LCS,match,total_match
"เหรียญทองแดง25,000ดอลลาร์สหรัฐ824,000",1,2274
อัลตซาวเฉลย,1,2274
คำสร้อยพิทยาสรรค์กอกคำสร้อยภารโรง,1,2274
ปัสสาวะกลั้นปัสสาวะ,1,2274
กรมราชทัณฑ์ไล่ออกปลดออกผู้คุมตมสินธพกรมราชทัณฑ์อนุกรรมการ,1,2274
195เช้ามืดข้างๆคุณยายตอนเช้าคนแก่กลัวผีแบงค์,1,2274
เบลเกรดเซอร์เบียรองชนะเลิศชก,1,2274
2550เป็นความลับผู้ใดคนไข้บัญญัติคนไข้สิทธิส่วนบุคคลมีโทษ,1,2274
สเปรย์จุดไฟซุ้มประตูพานอนุสาวรีย์ผู้กระทำผิด,1,2274
สมมุติแพทชัวร์แพทคบแพททำคะแนนมั๊ย,1,2274
13.32ปวดท้องท้องเสียอาเจียนเป็นพิษอาเจียน,1,2274
แบงค์ยิงปืนขว้างน้อยหน่าตรงหน้ากระโดนแอคชั่นตามหลัง,1,2274
คงขาดการต่อเนื่องแช่มันสำปะหลังคลุ้มคลั่งโดยไม่รู้ตัวหลอนยาบ้า,1,2274
สท.บานการคุคลั่งเกลี้ยกล่อมหวาดระแวงล้อมปาด,1,2274
สังเวียนษี.จ233(ศปต้นสังกัด,1,2274
ขบวนรถวีไอพีย้อนศร,1,2274
DriverEp134,1,2274
หอพักสนามกีฬาMJUHospitechคณะพยาบาลศาสตร์โจ้จัดแบ่ง,1,2274
โอ๊ตปราโมทย์พิชญ์,1,2274
ศาลฎีกาคดีอาญาผู้ดำรงตำแหน่งทางการเมืองประทับ,1,2274
79.766.895.111.681.43เคหสถาน03.00เคหสถาน,1,2274
แยกจากฆ่าเชื้อโรงอาหารเทิดสนามกีฬาอินทนิลวอลเลย์บอล,1,2274
หอมมะลิทุ่งกุลาชาวนา,1,2274
ปาดแท้ๆสลดหดหู่ใจลงคอตัวประกันณุอุณห,1,2274
สหเจียรเสี่ยโจ้ฟอกเงินห้วยขวาง2555กอ.รมน.,1,2274
"โอภาสการย์ผลการศึกษาประสิทธิผล8,2388,148ช้าๆสถานศึกษา",1,2274
พ.ย.)นิโรธเลขา,1,2274
ตัวการต่อเรือบังหน้าปลอมแปลงประทับ2557,1,2274
วันหยุดราชการปีใหม่สงกรานต์,1,2274
จุฬาฯคิดค้นน้ำยาฆ่าเชื้อสิทธิบัตรระดับชาติ,1,2274
233(ศปต้นสังกัด,1,2274
"ปรับราคารูปพรรณ28,800",1,2274
ภูริสหเจียรเสี่ยโจ้ฟอกเงินห้วยขวาง,1,2274
วีไอพีปัดวันเวย์สนั่นไซเรนวีไอพีย้อนศรรถติด,1,2274
หัวใจวายเฉียบพลันแน่นหน้าอกแน่นหน้าอกเรอเปรี้ยวแสบกรด,1,2274
ห้องเรียนใช้การห้องเรียนชั้นเรียนผู้ใกล้ชิดผู้ใกล้ชิดโดยไม่จำเป็น,1,2274
แบงค์รับเชิญแบงค์หลายเท่าเฉียดล่ามแบงค์แอคชั่น,1,2274
"คิ้ม""ออกหมายเรียกหมายเรียก",1,2274
ปฏิภาณวาทีพิพิธสุทัศนเทพวราราม,1,2274
กรมสารนิเทศmfa2035000antifakenewscenterantifakenewscentertwitterAFNCThailandGCC,1,2274
thailandpassorgกรมสารนิเทศหน่วยงานรัฐPassของจริงCOEtp,1,2274
ขั้นพื้นฐาน(กพฐ.)ขั้นพื้นฐาน,1,2274
ฝ่ายรัฐบาลวิปหนักใจวิรัชวิปวิป,1,2274
ธวัฒโภคทรัพย์ศุกรีหัดเภทสวป.บดี,1,2274
เงินเฟ้อ0.81.2ค่ากลาง1.0การทบทวน,1,2274
พลตำรวจตรีตำรวจจราจรรอบด้านตำรวจจราจรเบนซ์ผิดทางการปล่อยปละละเลยกฎหมายอาญา,1,2274
นิโรธเลขาได้รับแต่งตั้งวิปฝ่ายรัฐบาลวิปหนักใจ,1,2274
เรณูเก้เกลื้อนบุญธรรมนิมนต์การอัญเชิญวิญญาณ,1,2274
ความแตกแยกพระมหากษัตริย์ยึดเหนี่ยว,1,2274
98.5กษัตริย์ส่วนสำคัญ,1,2274
ออกหมายเรียกยอมรับผิดคิ้มไม่เป็นไรสำนึกผิดใจจริงชดใช้ค่าเสียหาย,1,2274
ภู่หัวหน้าศูนย์เฉพาะทางภาควิชากุมารเวชศาสตร์แพทยศาสตร์ภูมิต้านทานภูมิต้านทาน,1,2274
คอมเม้นท์คอมเม้นท์คดีอาญามีโทษรอยัลลิสต์เก็ตเพลส,1,2274
